"1:nrow(y_train)","longitude","latitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","ocean_proximity"
1402,-117.08,33.12,43,107,44,107,48,0.7054,"<1H OCEAN"
1403,-122.12,37.43,33,3262,668,1411,626,5.316,"NEAR BAY"
1404,-117.87,33.89,25,1142,162,486,150,7.1472,"<1H OCEAN"
1405,-122.16,37.45,47,4234,NA,1808,1093,4.2297,"NEAR BAY"
1406,-117.13,32.97,10,3486,469,1700,483,6.4696,"<1H OCEAN"
1407,-118.97,35.41,36,1896,315,937,303,3.996,"INLAND"
1408,-117.69,33.6,16,2205,393,1333,402,3.475,"<1H OCEAN"
1409,-120.98,37.68,24,705,114,347,141,3.1912,"INLAND"
1410,-118.5,34.21,36,1656,310,817,308,5.5675,"<1H OCEAN"
1411,-117.13,32.74,46,3355,768,1457,708,2.6604,"NEAR OCEAN"
1412,-121.47,38.54,47,2085,464,1346,402,1.2679,"INLAND"
1413,-121.5,38.57,9,745,175,297,160,3.358,"INLAND"
1414,-121,39.26,14,810,151,302,138,3.1094,"INLAND"
1415,-118.13,34.69,34,2156,397,1269,388,2.75,"INLAND"
1416,-119.68,36.77,21,1260,182,583,205,6.0132,"INLAND"
1417,-118.24,33.91,40,972,240,761,225,1.4688,"<1H OCEAN"
1418,-122.27,37.9,52,1803,240,572,236,6.174,"NEAR BAY"
1419,-118.36,34.03,38,2365,638,2259,607,2.0879,"<1H OCEAN"
1420,-122.92,38.97,20,2067,384,904,333,2.9934,"<1H OCEAN"
1421,-122.19,37.48,38,1300,269,608,292,4.5568,"NEAR BAY"
1422,-117.85,33.77,16,2186,511,908,466,4.575,"<1H OCEAN"
1423,-118.52,34.19,42,881,170,464,163,2.9511,"<1H OCEAN"
1424,-118.41,34.25,18,3447,857,3663,817,3.2284,"<1H OCEAN"
1425,-119.84,36.75,34,1186,300,774,271,1.575,"INLAND"
1426,-119,35.4,44,2250,378,928,379,4.3906,"INLAND"
1427,-121.46,39.54,14,5549,1000,1822,919,2.9562,"INLAND"
1428,-122.02,37.34,26,1992,328,980,342,6.2475,"<1H OCEAN"
1429,-122.41,37.63,37,1252,275,878,287,4.2262,"NEAR OCEAN"
1430,-122.12,37.69,35,2681,508,1580,536,4.1042,"NEAR BAY"
1431,-118.38,33.77,17,10950,2207,4713,2043,6.3064,"NEAR OCEAN"
1432,-120.47,34.64,8,2482,586,1427,540,3.071,"NEAR OCEAN"
1433,-117.48,34.08,28,1922,382,1565,340,3.915,"INLAND"
1434,-118.16,34.03,45,894,231,925,222,2.6042,"<1H OCEAN"
1435,-118.4,34.22,36,2557,540,1556,491,3.6591,"<1H OCEAN"
1436,-117.17,33.18,25,596,115,426,137,3.0221,"<1H OCEAN"
1437,-117.68,34.01,20,7326,1555,5718,1538,3.2073,"INLAND"
1438,-118.28,33.97,35,2305,634,1978,568,1.375,"<1H OCEAN"
1439,-118.33,34.09,40,2004,687,1514,542,1.9911,"<1H OCEAN"
1440,-118.41,34.19,45,1106,225,595,228,3.6625,"<1H OCEAN"
1441,-121.89,37.44,8,2534,NA,1527,364,7.8532,"<1H OCEAN"
1442,-118.08,33.76,26,996,364,366,313,1.2813,"<1H OCEAN"
1443,-121.83,37.25,17,2332,637,1636,623,3.1932,"<1H OCEAN"
1444,-118.42,37.35,21,3302,557,1413,520,4.375,"INLAND"
1445,-118.25,33.84,19,1731,420,1032,364,3.8125,"<1H OCEAN"
1446,-118.25,34.1,42,598,147,312,144,2.625,"<1H OCEAN"
1447,-117.7,34.04,13,5301,1025,2870,984,3.5954,"INLAND"
1448,-118.35,33.94,38,1794,508,2188,454,2.6654,"<1H OCEAN"
1449,-122.21,38.28,35,1273,210,555,181,4.4861,"NEAR BAY"
1450,-122.43,37.78,17,2728,908,1670,893,1.077,"NEAR BAY"
1451,-119.29,36.34,10,1832,455,1664,429,2.0227,"INLAND"
1452,-122.4,37.59,22,2754,477,1163,479,6.2306,"NEAR OCEAN"
1453,-121.89,37.3,47,2355,426,961,428,5.3955,"<1H OCEAN"
1454,-117.89,33.88,15,1655,626,1549,582,1.9127,"<1H OCEAN"
1455,-122.41,37.75,52,2524,559,1430,476,3.4073,"NEAR BAY"
1456,-118.27,34.46,10,2184,405,1119,370,4.7437,"INLAND"
1457,-117.68,35.65,15,2701,576,1245,513,3.3269,"INLAND"
1458,-122.71,38.91,20,41,18,94,10,1.375,"INLAND"
1459,-117.13,33.89,4,1611,239,275,84,3.5781,"INLAND"
1460,-121.79,38.67,30,2602,401,981,405,4.7222,"INLAND"
1461,-121.13,37.47,37,1995,448,1559,443,2.1833,"INLAND"
1462,-119.65,36.3,28,941,175,588,180,2.3466,"INLAND"
1463,-122.33,37.93,27,2158,424,1220,442,3.0156,"NEAR BAY"
1464,-119.11,35.38,37,2044,394,894,359,2.9453,"INLAND"
1465,-118.36,34.06,39,2810,670,1109,624,3.25,"<1H OCEAN"
1466,-117.99,33.77,29,1312,267,922,255,3.1902,"<1H OCEAN"
1467,-117.79,33.69,16,3067,396,1275,372,8.7385,"<1H OCEAN"
1468,-118.56,34.03,34,2095,343,662,299,8.2934,"<1H OCEAN"
1469,-117.87,34.15,37,2655,415,1056,401,5.4224,"INLAND"
1470,-117.93,33.86,17,1627,398,1216,369,3.3438,"<1H OCEAN"
1471,-117.31,33.19,11,20944,3753,8738,3441,4.3762,"NEAR OCEAN"
1472,-119.78,36.75,31,1404,379,1515,387,1.2813,"INLAND"
1473,-119.38,36.56,25,1180,222,611,212,2.0729,"INLAND"
1474,-122.58,38.46,15,2936,517,1182,501,3.3981,"<1H OCEAN"
1475,-118.34,34.02,49,1609,371,896,389,2.5156,"<1H OCEAN"
1476,-120.55,38.07,27,1199,224,463,199,2.9063,"INLAND"
1477,-121.51,38.52,30,3236,588,1167,569,4.0972,"INLAND"
1478,-124.19,41.78,15,3140,714,1645,640,1.6654,"NEAR OCEAN"
1479,-116.98,32.75,18,1519,369,802,347,2.9886,"<1H OCEAN"
1480,-118.39,33.86,24,2386,582,1152,568,4.8971,"<1H OCEAN"
1481,-118.01,33.89,33,2046,327,1018,320,4.2292,"<1H OCEAN"
1482,-117.9,34.06,35,1313,194,599,209,7.5,"<1H OCEAN"
1483,-118.01,33.8,16,4021,701,1488,650,5.32,"<1H OCEAN"
1484,-121.45,39.26,15,2319,416,1047,385,3.125,"INLAND"
1485,-121.06,39.22,52,1749,422,837,391,2.325,"INLAND"
1486,-117.22,33.14,5,4576,848,2314,705,5.0123,"NEAR OCEAN"
1487,-118.28,34.07,14,1924,926,2226,792,2.2552,"<1H OCEAN"
1488,-117.07,33.15,15,2994,522,1231,503,3.2024,"<1H OCEAN"
1489,-122.82,38.33,25,3067,569,1602,550,3.9917,"<1H OCEAN"
1490,-121.44,38.71,25,2336,406,1172,408,3.5129,"INLAND"
1491,-121.95,37.28,19,7027,1847,3759,1753,3.1509,"<1H OCEAN"
1492,-122.84,38.07,31,1858,367,701,297,3.8269,"NEAR OCEAN"
1493,-122.41,37.62,49,1464,302,636,259,4.25,"NEAR OCEAN"
1494,-118.4,34.06,47,3652,967,1438,887,3.6964,"<1H OCEAN"
1495,-117.89,33.6,40,1639,352,498,278,5.6336,"<1H OCEAN"
1496,-121,37.25,31,1923,341,806,349,3.1738,"INLAND"
1497,-121.35,38.65,20,2498,546,1185,506,3.2243,"INLAND"
1498,-118.04,33.86,21,2870,437,1671,470,7.2628,"<1H OCEAN"
1499,-117.35,33.2,32,1251,220,700,232,3.9875,"NEAR OCEAN"
1500,-120.99,37.68,28,3269,647,1595,617,2.2336,"INLAND"
1501,-122.13,37.87,18,1820,220,728,229,10.3713,"NEAR BAY"
1502,-118.32,33.9,37,1664,401,1316,409,3.0526,"<1H OCEAN"
1503,-120.65,35.28,32,896,240,548,231,2.5455,"NEAR OCEAN"
1504,-118.43,34.17,35,2922,507,1130,485,5.451,"<1H OCEAN"
1505,-121.84,37.35,20,3375,867,4610,860,2.6894,"<1H OCEAN"
1506,-121.63,38.67,34,431,85,391,77,2.625,"INLAND"
1507,-119.47,36.69,19,3351,589,1578,542,3.2917,"INLAND"
1508,-118.25,34.09,52,3142,765,1728,682,3.1864,"<1H OCEAN"
1509,-118.36,34.05,45,1879,395,946,409,3.3333,"<1H OCEAN"
1510,-122.25,37.47,35,3183,515,1313,487,5.9062,"NEAR OCEAN"
1511,-117.64,33.63,10,4814,643,1808,588,8.798,"<1H OCEAN"
1512,-117.94,33.81,33,1891,334,932,343,4.2759,"<1H OCEAN"
1513,-118.35,33.92,24,2728,845,2023,773,2.75,"<1H OCEAN"
1514,-121.48,38.58,52,2501,757,1081,708,1.5872,"INLAND"
1515,-117.94,33.78,34,2627,468,1409,450,4.7731,"<1H OCEAN"
1516,-116.75,33.83,16,5277,1070,657,276,3.3333,"INLAND"
1517,-121.31,37.9,38,226,44,125,38,2.9,"INLAND"
1518,-121.89,37.69,4,6159,1510,2649,1241,3.62,"<1H OCEAN"
1519,-121.21,37.81,18,2404,498,1531,506,2.995,"INLAND"
1520,-117.96,33.8,33,2362,394,1185,387,4.425,"<1H OCEAN"
1521,-121.28,37.94,40,2806,685,2268,635,1.8814,"INLAND"
1522,-122.01,37.18,37,3852,652,1534,567,5.8596,"<1H OCEAN"
1523,-117.07,33.12,21,4578,927,2818,900,3.1458,"<1H OCEAN"
1524,-118.29,33.95,31,2839,792,2390,729,2,"<1H OCEAN"
1525,-118.37,33.82,36,2416,394,1115,386,6.256,"<1H OCEAN"
1526,-117.07,32.77,34,2245,394,1849,429,3.5446,"NEAR OCEAN"
1527,-118.29,33.73,21,2492,711,1699,672,2.1382,"NEAR OCEAN"
1528,-117.82,33.81,30,2260,345,1182,341,6.0705,"<1H OCEAN"
1529,-117.52,33.89,2,17978,3217,7305,2463,5.1695,"INLAND"
1530,-118.21,33.94,34,892,318,1443,341,2.1903,"<1H OCEAN"
1531,-122.31,37.92,38,1250,236,631,279,3.724,"NEAR BAY"
1532,-121.74,36.49,33,2952,565,1264,517,4.4209,"<1H OCEAN"
1533,-118.32,34.19,37,1335,249,485,240,4.1731,"<1H OCEAN"
1534,-117.99,33.85,34,1948,306,957,304,4.9777,"<1H OCEAN"
1535,-122.55,38.1,26,5188,892,2341,906,5.0029,"NEAR BAY"
1536,-118.03,34.06,36,1018,305,1307,292,2.1453,"<1H OCEAN"
1537,-122.01,38.37,16,3996,550,1673,539,5.778,"INLAND"
1538,-122.48,37.73,38,3195,828,2410,778,3.1359,"NEAR OCEAN"
1539,-117.19,32.84,30,2492,406,1250,431,5.5277,"NEAR OCEAN"
1540,-119.54,36.7,20,1815,375,1665,357,2.2448,"INLAND"
1541,-121.34,38.57,14,5737,1008,2731,983,4.4602,"INLAND"
1542,-119.29,36.31,34,1439,253,607,223,3.0972,"INLAND"
1543,-117.98,34.02,32,2945,651,2044,652,3.1979,"<1H OCEAN"
1544,-120.95,37.74,18,3453,666,1958,601,3.0043,"INLAND"
1545,-118.28,33.98,19,883,313,726,277,0.9809,"<1H OCEAN"
1546,-122.32,38,32,2275,397,1233,418,4.0437,"NEAR BAY"
1547,-122.47,37.71,42,1961,427,1211,409,3.5156,"NEAR OCEAN"
1548,-117.42,33.98,16,10072,2043,5913,1909,3.0606,"INLAND"
1549,-119.21,36.39,31,1465,303,1013,297,2.0363,"INLAND"
1550,-122.44,37.8,52,2865,593,1029,577,5.2539,"NEAR BAY"
1551,-118.96,35.87,17,1668,307,888,277,3.7794,"INLAND"
1552,-121.91,37.29,18,3597,664,1321,593,5.3077,"<1H OCEAN"
1553,-122.25,40.15,15,1677,346,858,327,2.4375,"INLAND"
1554,-118.04,34.16,38,1594,249,633,247,5.9582,"INLAND"
1555,-118.5,34.02,24,2924,1013,1492,943,2.775,"<1H OCEAN"
1556,-121.27,38.71,16,4082,666,1912,652,4.4609,"INLAND"
1557,-122.19,37.45,18,1636,414,853,439,5.1032,"NEAR OCEAN"
1558,-118.4,34.28,16,6573,1480,6161,1473,3.3304,"<1H OCEAN"
1559,-117.64,33.99,29,1005,152,513,149,2.4375,"INLAND"
1560,-118.39,34.05,47,1621,314,724,311,5.7509,"<1H OCEAN"
1561,-119.46,36.6,18,1404,226,754,229,3.9844,"INLAND"
1562,-121.52,39.48,21,2628,494,1364,468,2.0455,"INLAND"
1563,-121.34,38.68,28,3379,552,1543,556,4.2743,"INLAND"
1564,-122.14,37.08,18,2420,439,1278,416,5.2101,"NEAR OCEAN"
1565,-117.22,33.48,5,1585,247,510,181,6.9136,"<1H OCEAN"
1566,-117.57,34.02,5,6933,1311,3845,1285,4.6727,"INLAND"
1567,-117.01,32.99,8,3372,430,1536,448,8.4284,"<1H OCEAN"
1568,-122.03,37.27,32,4350,645,1551,609,7.8279,"<1H OCEAN"
1569,-121.23,37.82,14,1847,325,1030,309,4.9271,"INLAND"
1570,-118.36,33.93,27,4445,1231,3340,1113,3.1656,"<1H OCEAN"
1571,-118.1,33.84,35,1790,269,924,263,5.296,"<1H OCEAN"
1572,-118.44,34.21,37,1665,335,1011,343,4.8703,"<1H OCEAN"
1573,-122.02,37.3,26,1983,301,924,297,6.7123,"<1H OCEAN"
1574,-122.27,37.54,16,3913,565,1752,557,7.3644,"NEAR BAY"
1575,-118.42,33.97,44,1462,240,562,237,4.9375,"<1H OCEAN"
1576,-118.02,33.89,36,1375,NA,670,221,5.0839,"<1H OCEAN"
1577,-122.14,38.01,50,1760,341,741,316,4.5,"NEAR BAY"
1578,-118.26,34.08,45,2174,627,1992,557,2.5428,"<1H OCEAN"
1579,-122.06,38.26,36,1248,221,672,222,3.3839,"INLAND"
1580,-120.43,34.9,30,2388,393,1117,375,4.1058,"<1H OCEAN"
1581,-117.54,34.11,16,2114,374,1463,399,3.9241,"INLAND"
1582,-118.09,34.15,45,1345,356,749,327,2.8007,"INLAND"
1583,-121.99,37.56,18,5505,1005,2641,971,5,"<1H OCEAN"
1584,-118.35,33.86,28,2075,463,1216,446,3.9732,"<1H OCEAN"
1585,-116.91,34.24,23,6379,1636,1350,568,1.6336,"INLAND"
1586,-123.35,39.4,27,1321,338,779,327,1.85,"<1H OCEAN"
1587,-123.01,38.79,32,2697,529,1417,535,3.2546,"<1H OCEAN"
1588,-118.19,33.93,40,1334,276,1226,278,3.4712,"<1H OCEAN"
1589,-122.38,40.61,14,4773,1133,2101,1072,1.7227,"INLAND"
1590,-119.24,34.27,32,4071,888,1900,874,3.2792,"NEAR OCEAN"
1591,-122.36,37.95,38,1066,248,729,286,1.5139,"NEAR BAY"
1592,-117.02,32.84,17,4013,673,2263,661,5.131,"<1H OCEAN"
1593,-118.26,33.91,44,892,139,440,159,2.8859,"<1H OCEAN"
1594,-120.67,35.3,19,1540,715,1799,635,0.7025,"NEAR OCEAN"
1595,-118.08,33.88,27,923,186,1014,204,3.825,"<1H OCEAN"
1596,-118.43,34.01,41,1527,279,746,285,6.4232,"<1H OCEAN"
1597,-117.65,34.04,15,3393,NA,2039,611,3.9336,"INLAND"
1598,-118.25,33.93,36,2452,734,2664,667,0.9298,"<1H OCEAN"
1599,-117.91,34.14,42,2225,485,1544,464,2.2442,"INLAND"
1600,-121.78,38.66,18,4224,632,1907,641,4.8226,"INLAND"
1601,-122.42,37.74,52,1916,432,889,424,4.0391,"NEAR BAY"
1602,-117.7,33.47,20,1577,363,764,333,4.1563,"<1H OCEAN"
1603,-122.05,38.26,32,1070,199,631,195,2.6827,"INLAND"
1604,-122.74,38.48,12,4174,670,1882,647,4.551,"<1H OCEAN"
1605,-118.28,34,46,1650,463,1992,458,2.3403,"<1H OCEAN"
1606,-121.37,38.58,37,2839,390,1006,400,7.3343,"INLAND"
1607,-117.12,32.74,52,1969,389,877,424,3.79,"NEAR OCEAN"
1608,-122.44,37.74,23,184,44,118,40,4.5375,"NEAR BAY"
1609,-122.48,37.68,31,3506,653,2296,645,5.5647,"NEAR OCEAN"
1610,-118.22,33.97,47,1688,386,1663,381,4.0609,"<1H OCEAN"
1611,-118.33,33.84,36,1364,251,668,245,5.3131,"<1H OCEAN"
1612,-121.1,38.94,42,410,117,706,112,1.0179,"INLAND"
1613,-118.23,33.93,36,501,123,487,118,1.3,"<1H OCEAN"
1614,-121.85,37.36,15,3148,1116,3556,1037,3.0466,"<1H OCEAN"
1615,-122.19,40.07,21,1548,290,744,265,1.9773,"INLAND"
1616,-121.86,36.6,33,1409,307,633,290,3.5568,"<1H OCEAN"
1617,-118.03,34.06,24,2343,834,3537,824,2.1094,"<1H OCEAN"
1618,-118.01,34.13,38,3374,671,1906,640,4.0729,"INLAND"
1619,-118.14,33.94,35,2987,601,1561,606,4.0039,"<1H OCEAN"
1620,-120.13,34.63,11,2137,339,916,338,5.5221,"NEAR OCEAN"
1621,-118.17,33.77,25,4405,1262,2178,1090,3.0503,"NEAR OCEAN"
1622,-119.44,36.6,34,864,184,579,171,2.0417,"INLAND"
1623,-117.92,34,36,116,30,193,35,3.8125,"<1H OCEAN"
1624,-118.54,34.21,32,2593,566,1596,547,3.9886,"<1H OCEAN"
1625,-120.92,38.86,11,1720,345,850,326,3.2027,"INLAND"
1626,-118.37,34.2,34,2199,609,2488,597,2.9861,"<1H OCEAN"
1627,-121.3,37.98,47,2373,461,990,444,4.175,"INLAND"
1628,-118.22,33.98,42,626,143,625,156,3.125,"<1H OCEAN"
1629,-122.43,37.8,52,3172,848,1259,806,4.1047,"NEAR BAY"
1630,-117.07,32.64,38,1486,269,745,295,4.6477,"NEAR OCEAN"
1631,-121.31,37.97,45,2604,454,988,442,3.6667,"INLAND"
1632,-121.65,39.16,16,5022,1103,2087,956,2.3963,"INLAND"
1633,-117.96,34.06,34,2226,381,1464,365,4.4102,"<1H OCEAN"
1634,-118.3,33.93,40,2434,477,1646,453,3.2024,"<1H OCEAN"
1635,-118.83,34.14,16,1956,312,671,319,6.4001,"NEAR OCEAN"
1636,-117.07,32.63,37,2303,379,1026,357,3.455,"NEAR OCEAN"
1637,-117.28,33.85,16,3498,702,2372,672,2.3229,"INLAND"
1638,-119.32,36.3,14,1680,343,931,350,2.7336,"INLAND"
1639,-118.06,33.84,20,5643,1231,3841,1195,4.0542,"<1H OCEAN"
1640,-121.99,38.36,35,2728,451,1290,452,3.2768,"INLAND"
1641,-118.09,33.99,34,1369,270,1005,272,3.692,"<1H OCEAN"
1642,-121.95,37.3,21,4193,1068,2487,1011,3.7188,"<1H OCEAN"
1643,-119.59,36.57,19,1733,303,911,281,3.5987,"INLAND"
1644,-120.24,39.67,52,296,63,143,56,3.625,"INLAND"
1645,-117.11,32.82,17,1787,330,1341,314,2.875,"NEAR OCEAN"
1646,-119.04,35.36,40,1533,312,771,306,3.0435,"INLAND"
1647,-121.39,36.16,28,1057,249,288,130,3.0526,"NEAR OCEAN"
1648,-120.08,39.61,32,1404,247,544,201,2.7778,"INLAND"
1649,-118.29,33.71,36,3135,746,1815,697,3.7596,"NEAR OCEAN"
1650,-120.38,37.97,47,1060,219,496,205,2.5781,"INLAND"
1651,-121.89,37.28,35,2418,375,988,374,6.0936,"<1H OCEAN"
1652,-118.43,34.18,22,2052,568,1254,572,2.6364,"<1H OCEAN"
1653,-118.33,34.06,52,1368,231,737,248,8.3617,"<1H OCEAN"
1654,-118.1,33.96,36,2013,435,1476,475,3.9549,"<1H OCEAN"
1655,-117.15,32.91,10,2349,431,1598,435,4.8229,"<1H OCEAN"
1656,-117.23,32.8,27,1297,355,776,337,2.4643,"NEAR OCEAN"
1657,-121.58,37.02,27,2303,471,1447,467,3.2019,"INLAND"
1658,-118.11,33.9,35,2604,495,1465,470,4.4896,"<1H OCEAN"
1659,-121.32,38.89,9,5927,1269,3369,1176,2.8194,"INLAND"
1660,-121.99,36.99,16,1592,369,1039,351,3.6364,"NEAR OCEAN"
1661,-123.47,39.8,18,2130,545,863,346,2.3571,"INLAND"
1662,-118.31,34.05,35,1692,423,1578,406,2.5313,"<1H OCEAN"
1663,-120.37,36.13,10,2522,533,1335,493,3.2639,"INLAND"
1664,-124.1,40.47,52,1196,236,965,265,3.5345,"<1H OCEAN"
1665,-121.19,37.81,8,4019,857,1959,782,2.7321,"INLAND"
1666,-118.01,33.9,36,1382,257,685,255,5.125,"<1H OCEAN"
1667,-122.32,38.32,19,2922,417,1221,442,5.8002,"NEAR BAY"
1668,-119.64,36.35,23,3182,563,1525,585,3.8108,"INLAND"
1669,-122.02,37.63,6,2445,590,1189,573,3.8958,"NEAR BAY"
1670,-117.53,33.97,29,1430,273,872,283,4.0833,"INLAND"
1671,-122.66,38.2,39,2889,517,1351,489,4.3056,"<1H OCEAN"
1672,-117.85,33.79,40,1251,336,729,343,2.4688,"<1H OCEAN"
1673,-120.02,38.76,15,3142,618,725,285,4.3333,"INLAND"
1674,-122.23,37.8,52,1252,299,844,280,2.3929,"NEAR BAY"
1675,-119.48,36.54,28,2112,363,1011,335,4.2222,"INLAND"
1676,-121.39,38.59,34,1151,234,563,251,2.8,"INLAND"
1677,-118.36,33.9,39,1166,222,640,206,3.5313,"<1H OCEAN"
1678,-122.13,37.45,37,2295,332,933,332,6.7257,"NEAR BAY"
1679,-117.51,34,36,3791,746,2258,672,3.2067,"INLAND"
1680,-117.96,33.85,36,1951,365,1254,358,4.8438,"<1H OCEAN"
1681,-121.24,36.33,13,1642,418,1534,388,3.1222,"<1H OCEAN"
1682,-121.6,39.77,26,1503,343,699,296,1.875,"INLAND"
1683,-118.33,34.01,44,2182,492,878,493,1.9631,"<1H OCEAN"
1684,-122.25,37.76,52,2876,648,1340,632,3.567,"NEAR BAY"
1685,-122.02,37.31,35,2355,384,1248,378,5.9714,"<1H OCEAN"
1686,-117.99,33.9,33,2161,383,1235,383,5.6454,"<1H OCEAN"
1687,-117.33,33.03,31,1171,321,603,267,2.8611,"NEAR OCEAN"
1688,-118.19,33.89,32,1696,438,1639,376,2.0357,"<1H OCEAN"
1689,-117.09,33.13,9,5685,1442,3773,1250,3.0426,"<1H OCEAN"
1690,-121.82,37.35,24,2298,575,2409,569,3.4509,"<1H OCEAN"
1691,-118.44,34.18,35,972,270,550,256,2.2461,"<1H OCEAN"
1692,-121.89,37.66,3,1565,464,769,461,2.1187,"INLAND"
1693,-118.1,33.83,36,1408,250,702,251,4.875,"<1H OCEAN"
1694,-118.21,34.09,34,1660,412,1678,382,2.7708,"<1H OCEAN"
1695,-117.03,33,6,6139,793,2693,770,7.7569,"<1H OCEAN"
1696,-122.28,37.83,52,1511,390,901,403,1.4103,"NEAR BAY"
1697,-118.35,33.94,35,1451,435,1888,420,2.8462,"<1H OCEAN"
1698,-118.25,33.78,32,296,139,511,133,1.4444,"NEAR OCEAN"
1699,-118.02,33.74,26,3842,609,1961,595,6.128,"<1H OCEAN"
1700,-118.15,34.03,44,603,207,588,218,2.0536,"<1H OCEAN"
1701,-117.9,34.02,15,14058,2486,8997,2497,5.0704,"<1H OCEAN"
1702,-118.03,34.1,32,2668,609,1512,541,2.9422,"INLAND"
1703,-122.25,37.79,45,1786,526,1475,460,1.7772,"NEAR BAY"
1704,-118.01,33.91,32,2722,571,2541,462,4.2305,"<1H OCEAN"
1705,-117.75,34.04,22,2948,636,2600,602,3.125,"INLAND"
1706,-120.66,35.5,19,1861,364,1040,363,3.3125,"<1H OCEAN"
1707,-120.06,36.94,19,901,183,700,190,2.2375,"INLAND"
1708,-121.99,37.92,14,1780,224,764,226,9.0243,"INLAND"
1709,-122.05,38,16,1085,217,356,232,2.3462,"NEAR BAY"
1710,-118.26,33.78,21,2188,706,2265,652,1.9923,"NEAR OCEAN"
1711,-118.06,34.13,40,4307,918,1769,845,3.6341,"INLAND"
1712,-117.48,33.94,19,1891,465,1693,416,2.7813,"INLAND"
1713,-119.59,36.11,32,752,159,524,155,2.25,"INLAND"
1714,-118.11,33.87,33,1379,254,795,297,4.6713,"<1H OCEAN"
1715,-121.98,36.97,21,3349,737,1952,718,3.7273,"NEAR OCEAN"
1716,-118.09,34.16,45,2199,358,942,353,5.0393,"INLAND"
1717,-117.8,33.74,30,3569,551,1540,537,5.2998,"<1H OCEAN"
1718,-121.31,37.98,47,3386,663,1228,619,3.0625,"INLAND"
1719,-118.07,33.92,36,1560,320,1348,314,3.622,"<1H OCEAN"
1720,-121.38,38.71,7,4842,935,2857,907,3.9318,"INLAND"
1721,-117.23,32.81,28,1508,263,996,267,3.8026,"NEAR OCEAN"
1722,-121.54,38.49,6,9104,1535,3759,1481,5.1442,"INLAND"
1723,-121.79,38.66,15,6809,1052,3060,1060,5.3064,"INLAND"
1724,-119.36,35.55,29,510,84,236,73,2.7,"INLAND"
1725,-117.29,34.16,38,2458,488,1135,453,2.875,"INLAND"
1726,-119.52,36.61,33,1225,275,1065,248,1.8958,"INLAND"
1727,-117.51,34.14,21,2455,381,1094,327,4.6437,"INLAND"
1728,-119.78,36.71,35,1987,394,1233,383,1.3587,"INLAND"
1729,-118.47,34.04,32,2909,748,1310,706,4.516,"<1H OCEAN"
1730,-118.06,33.78,22,4048,562,1637,541,7.3463,"<1H OCEAN"
1731,-118.4,34.15,44,2515,510,967,484,5.0754,"<1H OCEAN"
1732,-118.18,33.93,31,1516,400,1820,398,2.1641,"<1H OCEAN"
1733,-118.18,33.79,20,1255,360,1201,318,1.2206,"NEAR OCEAN"
1734,-122.26,38.04,41,2512,539,1179,480,2.694,"NEAR BAY"
1735,-118.2,34.05,42,1703,586,2490,581,2.02,"<1H OCEAN"
1736,-121.63,39.15,16,1547,418,940,400,1.5613,"INLAND"
1737,-117.01,32.8,17,1558,479,803,431,2.6934,"<1H OCEAN"
1738,-121.87,37.27,16,3298,451,1542,423,6.7064,"<1H OCEAN"
1739,-122.54,37.94,26,3990,804,1550,792,5.1834,"NEAR BAY"
1740,-119.59,36.64,27,823,171,798,200,3.0521,"INLAND"
1741,-117.04,32.9,6,6525,826,3146,806,9.2858,"<1H OCEAN"
1742,-117.94,33.7,18,4827,718,2471,716,6.1181,"<1H OCEAN"
1743,-121.62,39.12,35,2787,587,1431,601,2.5469,"INLAND"
1744,-122.06,37.37,18,3058,661,1377,675,6.1299,"<1H OCEAN"
1745,-117.09,32.75,30,1899,546,1620,493,1.6034,"NEAR OCEAN"
1746,-118.14,34.17,52,2687,600,1716,544,2.7201,"<1H OCEAN"
1747,-121.97,37.76,8,3743,581,1633,567,6.7027,"<1H OCEAN"
1748,-119.77,36.78,36,3616,779,1994,786,2.5434,"INLAND"
1749,-118.19,33.99,40,1547,434,1930,427,3.3869,"<1H OCEAN"
1750,-122.04,37.29,19,3625,432,1252,409,12.2145,"<1H OCEAN"
1751,-118.22,34.13,35,2983,526,1614,543,5.7794,"<1H OCEAN"
1752,-117.41,34.11,29,3999,772,2602,760,3.5481,"INLAND"
1753,-122.66,38.42,14,5315,1037,2228,950,4.023,"<1H OCEAN"
1754,-121.84,37.25,17,2363,473,1369,442,4.8355,"<1H OCEAN"
1755,-122.04,37.08,20,467,95,229,86,4.8,"NEAR OCEAN"
1756,-118.41,34.25,36,1146,259,1173,272,3.6016,"<1H OCEAN"
1757,-117.15,34.04,14,2845,420,1172,377,7.5822,"INLAND"
1758,-116.99,32.81,25,4436,758,1997,738,4.2386,"<1H OCEAN"
1759,-117.94,33.73,24,4197,718,2468,714,5.2563,"<1H OCEAN"
1760,-117.67,33.49,10,366,61,128,61,8.163,"<1H OCEAN"
1761,-122.03,38.69,23,1796,380,939,330,2.7955,"INLAND"
1762,-122.48,38.31,19,2398,521,1266,471,2.7727,"<1H OCEAN"
1763,-122.7,38.44,35,1304,343,822,304,3.2935,"<1H OCEAN"
1764,-122.13,37.46,35,1321,300,1133,287,3.7312,"NEAR BAY"
1765,-119.01,35.34,36,973,219,613,187,1.5625,"INLAND"
1766,-118.17,34.09,36,3066,797,3097,780,2.5523,"<1H OCEAN"
